Package                 License Link
lndir                   http://www.mit.edu/afs/sipb/project/sipbsrc/rt/lndir/COPYING
login                   http://www.polarhome.com/service/man/?qf=login&af=0&sf=0&of=Cygwin&tf=2
m4                      https://www.gnu.org/software/m4/
make                    https://www.gnu.org/software/make/
man-db                  https://launchpad.net/man-db
mintty                  https://github.com/mintty/mintty/blob/master/LICENSE
ncurses                 https://invisible-island.net/ncurses/ncurses-license.html
openssh                 https://cvsweb.openbsd.org/src/usr.bin/ssh/LICENCE?rev=HEAD
openssl                 https://www.openssl.org/source/license-openssl-ssleay.txt
p11-kit                 https://github.com/p11-glue/p11-kit/blob/master/COPYING
p11-kit-trust           https://github.com/p11-glue/p11-kit/blob/master/COPYING
patch                   https://www.gnu.org/software/patch
perl                    https://dev.perl.org/licenses/
perl_autorebase         https://dev.perl.org/licenses/
perl_base               https://dev.perl.org/licenses/
perl-Archive-Zip        https://dev.perl.org/licenses/
perl-Carp               https://dev.perl.org/licenses/
perl-Error              https://dev.perl.org/licenses/
perl-Scalar-List-Utils  https://dev.perl.org/licenses/
perl-TermReadKey        https://dev.perl.org/licenses/
publicsuffix-list-dafsa https://github.com/publicsuffix/list/blob/master/LICENSE
rebase                  https://cygwin.com/licensing.html
rsync                   http://www.polarhome.com/service/man/?qf=rsync&af=0&sf=0&of=Cygwin&tf=2
run                     https://cygwin.com/licensing.html
sed                     https://www.gnu.org/software/sed/
tar                     https://www.gnu.org/software/tar/
terminfo                https://invisible-island.net/ncurses/ncurses-license.html
terminfo-extra          https://invisible-island.net/ncurses/ncurses-license.html
tzcode                  https://github.com/conda-forge/tzcode-feedstock
tzdata                  https://github.com/conda-forge/tzcode-feedstock
util-linux              https://github.com/karelzak/util-linux/blob/master/README.licensing
vim-minimal             https://www.gnu.org/licenses/vim-license.txt
wget                    https://www.gnu.org/software/wget/
which                   https://www.gnu.org/software/which/
xz                      https://git.tukaani.org/?p=xz.git;a=blob;f=COPYING
zlib0                   https://www.zlib.net/zlib_license.html
zstd                    https://github.com/facebook/zstd
